,Address,Balcony,Price,Rooms,Size
0,"Erzsébet körút, VII. kerület",nincs,99.99 M Ft,4 szoba,102 m² terület
1,"Úszódaru utca, XIII. kerület",10 m² erkély,114.8 M Ft,3 szoba,72 m² terület
2,"Zágrábi utca 8, X. kerület",8.88 m² erkély,41.81 M Ft,1 szoba,36 m² terület
3,"Lehel utca 9, XIII. kerület",10 m² erkély,51.6 M Ft,1 szoba,46 m² terület
4,"Szerenád utca 4, XI. kerület",28.49 m² erkély,105.36 M Ft,4 szoba,82 m² terület
5,"Szabolcs utca 25, XIII. kerület",7 m² erkély,54 M Ft,1 + 1 fél szoba,46 m² terület
6,"Murányi utca, VII. kerület",nincs,42.9 M Ft,2 szoba,53 m² terület
7,"Wesselényi utca, VII. kerület",nincs,59.9 M Ft,1 + 1 fél szoba,59 m² terület
8,"Szondi utca 57, VI. kerület",4.98 m² erkély,48.99 M Ft,2 szoba,37 m² terület
9,"Rétköz utca, XI. kerület",137.24 m² erkély,174.98 M Ft,4 szoba,114 m² terület
10,"Csanády utca, XIII. kerület",nincs,77 M Ft,3 szoba,77 m² terület
11,"Szondi utca 57, VI. kerület",nincs,51.99 M Ft,2 szoba,43 m² terület
12,"Illyés Gyula utca, XV. kerület",nincs,69.5 M Ft,3 + 1 fél szoba,103 m² terület
13,"Rómaifürdő - Pók utcai lakótelep, III. kerület",nincs,62 M Ft,3 + 1 fél szoba,73 m² terület
14,"Pünkösdfürdő utca, III. kerület",4.05 m² erkély,49.1 M Ft,2 szoba,47 m² terület
15,"Pünkösdfürdő utca, III. kerület",11.16 m² erkély,60.9 M Ft,3 szoba,56 m² terület
16,"Szabolcs utca 23, XIII. kerület",6 m² erkély,59.9 M Ft,2 szoba,51 m² terület
17,"Csengery utca 57, VI. kerület",nincs,29.45 M Ft,1 szoba,31 m² terület
18,"Szondi utca 57, VI. kerület",8.65 m² erkély,55.99 M Ft,2 szoba,44 m² terület
19,"Ady Endre utca 19, II. kerület",22 m² erkély,73.5 M Ft,2 szoba,45 m² terület
20,"Szent László út 57/A, XIII. kerület",2 m² erkély,36.65 M Ft,1 + 1 fél szoba,40 m² terület
21,"Pozsonyi út 30, XIII. kerület",4 m² erkély,49 M Ft,1 szoba,35 m² terület
22,"Hegedűs Gyula utca, XIII. kerület",nincs,64.9 M Ft,3 szoba,70 m² terület
23,"Országbíró utca, XIII. kerület",3 m² erkély,69.9 M Ft,3 szoba,68 m² terület
24,"Szigeti József utca 7, IV. kerület",4 m² erkély,35.8 M Ft,2 szoba,54 m² terület
25,"Szondi utca 57, VI. kerület",10.83 m² erkély,102.99 M Ft,3 szoba,74 m² terület
26,"Szabolcs utca 4-6, XIII. kerület",16 m² erkély,86.36 M Ft,3 szoba,71 m² terület
27,"Taksony utca 7, XIII. kerület",40 m² erkély,91.5 M Ft,2 szoba,58 m² terület
28,"Angyalföldi út, XIII. kerület",8.23 m² erkély,64.9 M Ft,2 szoba,54 m² terület
29,"Angyalföldi út, XIII. kerület",31.23 m² erkély,90.2 M Ft,3 szoba,67 m² terület
30,"Angyalföldi út, XIII. kerület",10.33 m² erkély,63 M Ft,2 szoba,51 m² terület
31,"Bárd utca 5, IX. kerület",8.14 m² erkély,61.64 M Ft,2 szoba,46 m² terület
32,"Cserhalom utca, XIII. kerület",nincs,60.6 M Ft,2 szoba,40 m² terület
33,"Cserhalom utca, XIII. kerület",10 m² erkély,63.52 M Ft,2 szoba,44 m² terület
34,"Csata utca 3-7, XIII. kerület",43 m² erkély,94 M Ft,3 szoba,74 m² terület
35,"Csata utca 3-7, XIII. kerület",50 m² erkély,111.9 M Ft,2 + 2 fél szoba,81 m² terület
36,"Csata utca 3-7, XIII. kerület",12 m² erkély,54.9 M Ft,2 szoba,46 m² terület
37,"Józef Wysocki utca, XV. kerület",nincs,75.85 M Ft,3 szoba,116 m² terület
38,"Visegrádi utca 48, XIII. kerület",nincs,73.7 M Ft,3 + 1 fél szoba,97 m² terület
39,"Tahi utca 59-61, XIII. kerület",14.81 m² erkély,94.85 M Ft,3 szoba,78 m² terület
