,district,size (m²),price (M in HUF),balcony (m²),address,room(s),half_room(s)
0, XIII,48,59.0,,Kassák Lajos utca,2,
1, XIII,46,54.9,12.0,Csata utca,2,
2, VII,63,39.9,,Rottenbiller utca,2,
3, VII,50,39.9,,Almássy tér,2,
4, VII,50,39.9,,Almássy tér,2,
5, VII,63,39.9,,Rottenbiller utca,2,
6, VII,102,99.99,,Erzsébet körút,4,
7, XIII,72,114.8,10.0,Úszódaru utca,3,
8, X,36,41.81,8.88,Zágrábi utca,1,
9, XIV,47,47.5,5.0,Limanova tér,2,
10, XIV,80,52.9,1.0,Gyarmat utca,2,
11, XIII,46,51.6,10.0,Lehel utca,1,
12, XI,82,105.36,28.49,Szerenád utca,4,
13, VII,56,39.99,4.0,Jósika utca,2,1.0
14, VII,53,42.9,,Murányi utca,2,
15, VI,37,48.99,4.98,Szondi utca,2,
16, XI,50,69.9,13.81,Kánai út,2,
17, XIII,77,77.0,,Csanády utca,3,
18, VI,43,51.99,,Szondi utca,2,
19, XIII,73,62.9,,Rózsafa utca,2,
20, III,73,62.0,,Rómaifürdő - Pók utcai lakótelep,3,1.0
21, III,47,51.1,4.05,Pünkösdfürdő utca,2,
22, III,56,63.3,11.16,Pünkösdfürdő utca,3,
23, XIII,43,40.9,,Jász utca,2,
24, XIII,51,59.9,6.0,Szabolcs utca,2,
25, VI,44,55.99,8.65,Szondi utca,2,
26, XIII,79,92.9,7.0,Ambrus utca,4,
27, VI,46,51.5,,Rózsa utca 90.,2,1.0
28, XIII,40,36.65,2.0,Szent László út,1,1.0
29, VI,55,61.9,,Eötvös utca,2,1.0
30, XIII,65,63.9,,Pannónia utca,2,1.0
31, XIII,68,69.9,3.0,Országbíró utca,3,
32, VI,74,102.99,10.83,Szondi utca,3,
33, XIII,71,86.36,16.0,Szabolcs utca,3,
34, XIII,58,91.5,40.0,Taksony utca,2,
35, XIII,39,56.9,,Szekszárdi utca,2,
36, IX,46,61.64,8.14,Bárd utca,2,
37, XIII,44,64.05,10.0,Cserhalom utca,2,
38, VII,45,35.8,,Dob utca,1,
39, XV,116,75.85,,Józef Wysocki utca,3,
40, XIII,97,73.7,,Visegrádi utca,3,1.0
41, XIII,78,94.85,14.81,Tahi utca,3,
42, XIV,64,65.2,2.0,Alsórákos,3,
43, XIII,103,84.9,64.0,Lőportár utca,2,
44, XIII,63,88.46,9.63,Cserhalom utca,3,
45, XIII,45,56.35,9.0,Tahi utca,2,
46, XIII,76,86.57,7.8,Tahi utca,4,
47, XIII,57,64.32,,Szekszárdi utca,3,
48, XIII,49,80.0,10.0,Danubius utca,2,
49, XI,110,119.9,17.0,Kelenföld,4,
50, XIII,45,64.05,10.54,Cserhalom utca,2,
51, XI,51,71.4,27.42,Szerenád utca,2,
52, IX,46,62.62,11.89,Bárd utca,2,
53, XIII,62,68.27,,Szekszárdi utca,3,
54, XIII,62,67.6,,Szekszárdi utca,3,
55, XIII,71,114.85,11.0,Danubius utca,3,
56, VII,63,55.0,,Középső-Erzsébetváros,2,
57, XIII,57,72.19,15.0,Tahi utca,3,
58, XI,53,59.9,,Kelenföld,1,1.0
59, XI,49,65.7,8.55,Kánai út,2,
60, VIII,87,55.0,,Józsefváros - Csarnoknegyed,2,1.0
61, IX,57,69.99,,Márton utca,2,
62, VIII,51,54.7,6.21,Fiumei út,2,
63, VI,107,136.0,,Teréz körút,4,
64, IX,52,68.9,8.0,Dandár utca,3,
65, IX,55,67.3,20.9,Pápay István utca 5.,3,
