;district;size (m²);price (M in HUF);balcony (m²);address;room(s);half_room(s)
0;013;48;59.0;;Kassák Lajos utca;2;
1;013;46;54.9;12.0;Csata utca;2;
2;007;63;39.9;;Rottenbiller utca;2;
3;007;50;39.9;;Almássy tér;2;
4;007;50;39.9;;Almássy tér;2;
5;007;63;39.9;;Rottenbiller utca;2;
6;007;102;99.99;;Erzsébet körút;4;
7;013;72;114.8;10.0;Úszódaru utca;3;
8;010;36;41.81;8.88;Zágrábi utca;1;
9;014;47;47.5;5.0;Limanova tér;2;
10;014;80;52.9;1.0;Gyarmat utca;2;
11;013;46;51.6;10.0;Lehel utca;1;
12;011;82;105.36;28.49;Szerenád utca;4;
13;007;56;39.99;4.0;Jósika utca;2;1.0
14;007;53;42.9;;Murányi utca;2;
15;006;37;48.99;4.98;Szondi utca;2;
16;011;50;69.9;13.81;Kánai út;2;
17;013;77;77.0;;Csanády utca;3;
18;006;43;51.99;;Szondi utca;2;
19;013;73;62.9;;Rózsafa utca;2;
20;003;73;62.0;;Rómaifürdő - Pók utcai lakótelep;3;1.0
21;003;47;51.1;05.Apr;Pünkösdfürdő utca;2;
22;003;56;63.3;16.Nov;Pünkösdfürdő utca;3;
23;013;43;40.9;;Jász utca;2;
24;013;51;59.9;6.0;Szabolcs utca;2;
25;006;44;55.99;8.65;Szondi utca;2;
26;013;79;92.9;7.0;Ambrus utca;4;
27;006;46;51.5;;Rózsa utca 90.;2;1.0
28;013;40;36.65;2.0;Szent László út;1;1.0
29;006;55;61.9;;Eötvös utca;2;1.0
30;013;65;63.9;;Pannónia utca;2;1.0
31;013;68;69.9;3.0;Országbíró utca;3;
32;006;74;102.99;10.83;Szondi utca;3;
33;013;71;86.36;16.0;Szabolcs utca;3;
34;013;58;91.5;40.0;Taksony utca;2;
35;013;39;56.9;;Szekszárdi utca;2;
36;009;46;61.64;14.Aug;Bárd utca;2;
37;013;44;64.05;10.0;Cserhalom utca;2;
38;007;45;35.8;;Dob utca;1;
39;015;116;75.85;;Józef Wysocki utca;3;
40;013;97;73.7;;Visegrádi utca;3;1.0
41;013;78;94.85;14.81;Tahi utca;3;
42;014;64;65.2;2.0;Alsórákos;3;
43;013;103;84.9;64.0;Lőportár utca;2;
44;013;63;88.46;9.63;Cserhalom utca;3;
45;013;45;56.35;9.0;Tahi utca;2;
46;013;76;86.57;08.Jul;Tahi utca;4;
47;013;57;64.32;;Szekszárdi utca;3;
48;013;49;80.0;10.0;Danubius utca;2;
49;011;110;119.9;17.0;Kelenföld;4;
50;013;45;64.05;10.54;Cserhalom utca;2;
51;011;51;71.4;27.42;Szerenád utca;2;
52;009;46;62.62;11.89;Bárd utca;2;
53;013;62;68.27;;Szekszárdi utca;3;
54;013;62;67.6;;Szekszárdi utca;3;
55;013;71;114.85;11.0;Danubius utca;3;
56;007;63;55.0;;Középső-Erzsébetváros;2;
57;013;57;72.19;15.0;Tahi utca;3;
58;011;53;59.9;;Kelenföld;1;1.0
59;011;49;65.7;8.55;Kánai út;2;
60;008;87;55.0;;Józsefváros - Csarnoknegyed;2;1.0
61;009;57;69.99;;Márton utca;2;
62;008;51;54.7;21.Jun;Fiumei út;2;
63;006;107;136.0;;Teréz körút;4;
64;009;52;68.9;8.0;Dandár utca;3;
65;009;55;67.3;20.Sept;Pápay István utca 5.;3;
66;009;51;71.2;21.Dec;Pápay István utca 5.;2;
67;013;56;61.0;06.Aug;Angyalföld - Lőportárdűlő;2;
68;013;78;103.4;38.0;Cserhalom utca;3;
69;013;116;140.61;;Cserhalom utca;5;
70;009;42;50.1;9.62;Pápay István utca 5.;1;1.0
71;013;60;65.5;;Szekszárdi utca;3;
72;003;36;39.9;5.35;Pünkösdfürdő utca;1;
73;013;68;49.0;;Visegrádi utca;4;
74;013;95;104.9;5.0;Kartács utca;3;1.0
75;013;44;73.12;;Cserhalom utca;2;
76;007;42;41.9;;Barcsay utca;2;
77;013;51;45.0;3.0;Bodor utca;2;
78;013;42;49.9;8.0;Vizafogó;1;
79;003;44;45.1;3.76;Pünkösdfürdő utca;2;
80;013;86;49.9;;Angyalföld - Lőportárdűlő;3;
81;013;52;51.9;2.0;József Attila tér;2;
82;003;210;249.0;50.0;Csillaghegy;6;
83;003;45;45.95;08.Apr;Pünkösdfürdő utca;2;
84;003;35;47.5;;Lajos utca;1;
85;007;50;41.4;;Rákóczi út;2;
86;003;50;51.4;02.Jun;Pünkösdfürdő utca;2;
87;007;55;38.9;4.0;Péterfy Sándor utca;3;1.0
88;011;85;79.9;16.0;Karinthy Frigyes út;4;
89;007;46;36.4;;Dob utca;2;
90;012;52;53.9;;Kléh István utca;2;
91;003;44;47.5;4.36;Pünkösdfürdő utca;2;
92;005;92;158.5;;Királyi Pál utca;3;
93;013;48;59.99;13.0;Csata utca;2;
94;003;71;129.9;18.0;Waterfront City lakópark;3;
95;002;52;100.0;4.0;Bem rakpart;2;
96;013;61;89.46;7.64;Cserhalom utca;3;
97;003;50;46.5;;Óbuda-Óváros;1;1.0
98;007;73;59.8;;Thököly út 19.;3;
99;014;56;58.0;;Ond vezér útja;2;1.0
100;015;46;42.0;;Rákospalota;2;
101;012;94;115.0;;Márvány utca;3;
102;011;62;59.4;;Tornavár utca;3;
103;001;68;66.79;;Víziváros;3;
104;003;86;142.0;34.0;Kadosa utca 15.;4;
105;005;130;249.0;;Október 6. utca;4;
